disease	diseaseID	disease_class	disease_class_name	disease_semantic_type
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
Non-Small Cell Lung Carcinoma	C0007131	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process
