Disease	Gene	metap	metafc
Non-Small Cell Lung Carcinoma	HNF1B	8.21e-58	-1.919922937
Non-Small Cell Lung Carcinoma	ARHGAP15	6.95e-38	-2.941904342
Non-Small Cell Lung Carcinoma	LILRA6	1.63e-43	-2.543623884
Non-Small Cell Lung Carcinoma	FCGR3A	4.689999999999999e-58	-1.887965756
Non-Small Cell Lung Carcinoma	EIF1AY	1.4e-59	-1.806040958
Non-Small Cell Lung Carcinoma	HEPH	1.2599999999999998e-45	-2.357601414
Non-Small Cell Lung Carcinoma	MROH7	1.1999999999999999e-59	-1.789802331
Non-Small Cell Lung Carcinoma	TMEM212	4.67e-69	-1.542594518
Non-Small Cell Lung Carcinoma	GCOM1	1.58e-45	-2.343151067
Non-Small Cell Lung Carcinoma	CCDC170	4.889999999999999e-66	-1.6048720419999998
Non-Small Cell Lung Carcinoma	SCUBE2	8.12e-49	-2.164735979
Non-Small Cell Lung Carcinoma	LILRB1	1.1699999999999998e-64	-1.614204552
Non-Small Cell Lung Carcinoma	OTC	6.9899999999999985e-68	-1.521004266
Non-Small Cell Lung Carcinoma	P2RX6	2.1499999999999998e-46	-2.236215616
Non-Small Cell Lung Carcinoma	CCL14	5.6e-39	-2.6509048280000003
Non-Small Cell Lung Carcinoma	CAMP	5.82e-43	-2.386337245
Non-Small Cell Lung Carcinoma	CEBPA	5.73e-57	-1.790527569
Non-Small Cell Lung Carcinoma	FLJ33360	1.06e-48	-2.08171811
Non-Small Cell Lung Carcinoma	MYBPHL	4.32e-43	-2.354130556
Non-Small Cell Lung Carcinoma	MDH1B	2.0499999999999997e-66	-1.516442129
Non-Small Cell Lung Carcinoma	CD302	6.7e-54	-1.8620077380000002
Non-Small Cell Lung Carcinoma	CCL4L2	2.13e-39	-2.559107313
Non-Small Cell Lung Carcinoma	F3	1.6899999999999998e-59	-1.6768682259999999
Non-Small Cell Lung Carcinoma	CLEC4F	3.139999999999999e-42	-2.368632804
Non-Small Cell Lung Carcinoma	C1orf228	4.6e-42	-2.371727302
Non-Small Cell Lung Carcinoma	FAM129A	7.609999999999999e-64	-1.5491703369999998
Non-Small Cell Lung Carcinoma	ADGRE4P	5.96e-46	-2.148631746
Non-Small Cell Lung Carcinoma	WWC2	1.1999999999999999e-52	-1.854806445
Non-Small Cell Lung Carcinoma	HAVCR2	5e-46	-2.119980497
Non-Small Cell Lung Carcinoma	CNTFR	3.439999999999999e-63	-1.5362903680000002
Non-Small Cell Lung Carcinoma	CXCL17	2.0099999999999997e-61	-1.575772289
Non-Small Cell Lung Carcinoma	HYDIN	1.3899999999999998e-36	-2.657664881
Non-Small Cell Lung Carcinoma	SLAMF6	2.1199999999999998e-39	-2.444990616
Non-Small Cell Lung Carcinoma	SLCO4A1	6.589999999999999e-63	-1.5143218530000002
Non-Small Cell Lung Carcinoma	REM1	5.17e-46	-2.057039616
Non-Small Cell Lung Carcinoma	RGS11	9.229999999999999e-49	-1.935383532
Non-Small Cell Lung Carcinoma	SHISA2	1.94e-54	-1.730029993
Non-Small Cell Lung Carcinoma	CSF1R	1.52e-38	-2.392536147
Non-Small Cell Lung Carcinoma	CACNA1C	1.0300000000000001e-57	-1.580045734
Non-Small Cell Lung Carcinoma	ZNF662	1.5600000000000001e-46	-1.9595797069999998
Non-Small Cell Lung Carcinoma	KCNS3	1.4299999999999998e-52	-1.6961642909999999
Non-Small Cell Lung Carcinoma	CFAP53	9.29e-53	-1.678466501
Non-Small Cell Lung Carcinoma	MYL3	2.19e-46	-1.907972024
Non-Small Cell Lung Carcinoma	CCDC33	5.09e-40	-2.211660251
Non-Small Cell Lung Carcinoma	RAB44	6.169999999999999e-57	-1.5439882719999998
Non-Small Cell Lung Carcinoma	GHRL	2.97e-42	-2.077417063
Non-Small Cell Lung Carcinoma	OGFRL1	3.6799999999999996e-47	-1.850674084
Non-Small Cell Lung Carcinoma	FAM179A	1.36e-39	-2.20842963
Non-Small Cell Lung Carcinoma	LEFTY2	5.37e-47	-1.854596259
Non-Small Cell Lung Carcinoma	CFAP77	2.12e-36	-2.4041827590000002
Non-Small Cell Lung Carcinoma	CTSG	6.659999999999998e-57	-1.5074431369999999
Non-Small Cell Lung Carcinoma	CD164L2	6.539999999999999e-38	-2.276835847
Non-Small Cell Lung Carcinoma	PLA2G2A	2.14e-42	-2.022585994
Non-Small Cell Lung Carcinoma	ARMC4	1.1799999999999998e-52	-1.597673682
Non-Small Cell Lung Carcinoma	STAP1	7.44e-35	-2.4228052719999997
Non-Small Cell Lung Carcinoma	CAPN11	5.58e-48	-1.744068304
Non-Small Cell Lung Carcinoma	STX19	3.4999999999999995e-53	-1.568257585
Non-Small Cell Lung Carcinoma	KLK10	1.41e-38	-2.1700439830000002
Non-Small Cell Lung Carcinoma	PLCB2	5.32e-38	-2.164175967
Non-Small Cell Lung Carcinoma	OCA2	1.34e-46	-1.757872024
Non-Small Cell Lung Carcinoma	ZNF831	9.919999999999999e-45	-1.826944048
Non-Small Cell Lung Carcinoma	ABCC6	7.66e-39	-2.096341667
Non-Small Cell Lung Carcinoma	CD96	6.0899999999999995e-31	-2.632593417
Non-Small Cell Lung Carcinoma	DPRX	3.5299999999999997e-47	-1.7085815830000002
Non-Small Cell Lung Carcinoma	ATP13A5	1.79e-44	-1.807184656
Non-Small Cell Lung Carcinoma	SLC25A34	1.4199999999999996e-44	-1.793333974
Non-Small Cell Lung Carcinoma	AGBL2	3.07e-43	-1.8435192880000002
Non-Small Cell Lung Carcinoma	FAM13A-AS1	1.81e-49	-1.60084937
Non-Small Cell Lung Carcinoma	GSTA3	4.1999999999999997e-50	-1.558174554
Non-Small Cell Lung Carcinoma	PTPN7	1.5099999999999998e-37	-2.082950694
Non-Small Cell Lung Carcinoma	GIMAP5	2.04e-32	-2.415454187
Non-Small Cell Lung Carcinoma	FABP5	4.719999999999999e-50	-1.550731815
Non-Small Cell Lung Carcinoma	PPP1R32	1.21e-38	-2.0144842169999997
Non-Small Cell Lung Carcinoma	ABI3	3.61e-34	-2.24687451
Non-Small Cell Lung Carcinoma	TMEM128	9.850000000000001e-50	-1.526813636
Non-Small Cell Lung Carcinoma	CCL16	1.5199999999999998e-34	-2.198429342
Non-Small Cell Lung Carcinoma	KLK11	2.1899999999999996e-34	-2.208086824
Non-Small Cell Lung Carcinoma	ZNF418	8.81e-44	-1.720026349
Non-Small Cell Lung Carcinoma	SP140	4.26e-30	-2.504376611
Non-Small Cell Lung Carcinoma	PRMT8	1.83e-36	-2.05466131
Non-Small Cell Lung Carcinoma	HLA-DQB2	2.04e-32	-2.29544623
Non-Small Cell Lung Carcinoma	ZNF671	1.15e-28	-2.58185625
Non-Small Cell Lung Carcinoma	INSC	1.18e-40	-1.792482423
Non-Small Cell Lung Carcinoma	C16orf71	1.32e-37	-1.9383793009999999
Non-Small Cell Lung Carcinoma	ACSBG1	5.6100000000000006e-36	-2.016025
Non-Small Cell Lung Carcinoma	ADAMTSL2	3.5600000000000004e-33	-2.185301644
Non-Small Cell Lung Carcinoma	ITGB2	1.54e-44	-1.613155935
Non-Small Cell Lung Carcinoma	CD80	8.35e-34	-2.133090056
Non-Small Cell Lung Carcinoma	RASAL3	1.87e-43	-1.648386235
Non-Small Cell Lung Carcinoma	TTC32	1.8899999999999996e-45	-1.567704545
Non-Small Cell Lung Carcinoma	CD3D	1.43e-23	-3.025571769
Non-Small Cell Lung Carcinoma	GZMK	1.82e-40	-1.736261599
Non-Small Cell Lung Carcinoma	PAMR1	2.23e-42	-1.6556980159999999
Non-Small Cell Lung Carcinoma	LCK	6.199999999999999e-35	-2.008443985
Non-Small Cell Lung Carcinoma	EFCAB12	6.870000000000001e-44	-1.588688515
Non-Small Cell Lung Carcinoma	BEND5	8.239999999999999e-40	-1.746724524
Non-Small Cell Lung Carcinoma	PDGFRB	4.96e-43	-1.6078858630000001
Non-Small Cell Lung Carcinoma	CACNG6	2.7400000000000006e-28	-2.466540807
Non-Small Cell Lung Carcinoma	PDE4C	2.0200000000000002e-27	-2.5378060319999998
Non-Small Cell Lung Carcinoma	SLC5A8	2.21e-39	-1.7484054830000002
Non-Small Cell Lung Carcinoma	AQP10	1.0999999999999999e-41	-1.640820704
Non-Small Cell Lung Carcinoma	KCNJ16	4.86e-33	-2.078967196
Non-Small Cell Lung Carcinoma	RSPH10B2	5.22e-27	-2.5229852680000002
Non-Small Cell Lung Carcinoma	CXCR6	8.83e-30	-2.278321769
Non-Small Cell Lung Carcinoma	SLC26A4	2.46e-31	-2.156055195
Non-Small Cell Lung Carcinoma	GSTA2	2.64e-28	-2.390881151
Non-Small Cell Lung Carcinoma	CD209	6.5599999999999995e-22	-3.0827096939999996
Non-Small Cell Lung Carcinoma	LCA5L	4.9099999999999995e-37	-1.7955799159999999
Non-Small Cell Lung Carcinoma	TM4SF4	1.6399999999999995e-41	-1.5869682230000002
Non-Small Cell Lung Carcinoma	C1orf186	2.3999999999999997e-36	-1.787111064
Non-Small Cell Lung Carcinoma	CCL3L3	1.0300000000000002e-25	-2.5402551819999997
Non-Small Cell Lung Carcinoma	STOX2	3.0599999999999995e-38	-1.687757769
Non-Small Cell Lung Carcinoma	APCDD1	8.45e-40	-1.61333986
Non-Small Cell Lung Carcinoma	CXorf21	2.6099999999999996e-32	-1.976221429
Non-Small Cell Lung Carcinoma	NNMT	3.3399999999999997e-29	-2.177267937
Non-Small Cell Lung Carcinoma	TRABD2A	6.0299999999999996e-33	-1.91606875
Non-Small Cell Lung Carcinoma	HCG27	2.36e-31	-2.003304329
Non-Small Cell Lung Carcinoma	CCDC39	3.18e-27	-2.315228241
Non-Small Cell Lung Carcinoma	CTSZ	1.4399999999999998e-40	-1.527694436
Non-Small Cell Lung Carcinoma	MUSTN1	6.199999999999999e-29	-2.137598413
Non-Small Cell Lung Carcinoma	DMTN	8.050000000000001e-28	-2.215542628
Non-Small Cell Lung Carcinoma	MOGAT1	6.38e-33	-1.846159944
Non-Small Cell Lung Carcinoma	WFDC6	1.22e-24	-2.470024923
Non-Small Cell Lung Carcinoma	MYOM1	3.7400000000000003e-29	-2.077195402
Non-Small Cell Lung Carcinoma	LOC606724	2.96e-29	-2.0683209330000003
Non-Small Cell Lung Carcinoma	CARD9	2.8899999999999994e-37	-1.60486369
Non-Small Cell Lung Carcinoma	CYP2F1	3.56e-38	-1.563100821
Non-Small Cell Lung Carcinoma	PLEKHS1	2.21e-38	-1.530966796
Non-Small Cell Lung Carcinoma	GRM7	2.65e-26	-2.239554167
Non-Small Cell Lung Carcinoma	ENTPD1	3.74e-33	-1.752503456
Non-Small Cell Lung Carcinoma	ARRDC5	7.66e-27	-2.1602953780000003
Non-Small Cell Lung Carcinoma	TREML1	1.12e-27	-2.090896145
Non-Small Cell Lung Carcinoma	KIR2DL3	3.64e-29	-1.969842611
