Disease	Gene	metap	metafc
Non-Small Cell Lung Carcinoma	TTK	0.0	2.5350227519999997
Non-Small Cell Lung Carcinoma	TYMS	0.0	1.5718645130000002
Non-Small Cell Lung Carcinoma	UBE2C	0.0	2.0179281319999998
Non-Small Cell Lung Carcinoma	UBE2T	0.0	1.850469629
Non-Small Cell Lung Carcinoma	UHRF1	0.0	2.015021973
Non-Small Cell Lung Carcinoma	WISP1	0.0	1.854464373
Non-Small Cell Lung Carcinoma	ZWINT	0.0	1.823605339
Non-Small Cell Lung Carcinoma	CALML3	2.8699999999999987e-240	3.6416478210000003
Non-Small Cell Lung Carcinoma	PRAME	5.4e-323	2.523783669
Non-Small Cell Lung Carcinoma	GPX2	1.419999999999999e-284	2.447392608
Non-Small Cell Lung Carcinoma	SERPINB5	4.479999999999997e-257	2.684152409
Non-Small Cell Lung Carcinoma	TNS4	2.7599999999999982e-278	2.353580853
Non-Small Cell Lung Carcinoma	SPRR1B	6.599999999999997e-194	3.3509411119999997
Non-Small Cell Lung Carcinoma	KRT6B	1.3699999999999993e-241	2.644385733
Non-Small Cell Lung Carcinoma	SIX1	2.44757013796e-313	1.8925418669999998
Non-Small Cell Lung Carcinoma	CENPH	1.969999999999999e-303	1.945815019
Non-Small Cell Lung Carcinoma	GPR87	2.9399999999999986e-273	2.136542144
Non-Small Cell Lung Carcinoma	C16orf59	4.049999999999998e-260	2.238281367
Non-Small Cell Lung Carcinoma	S100A2	1.0799999999999993e-282	2.043518321
Non-Small Cell Lung Carcinoma	KRT6A	4.8599999999999985e-232	2.4521524169999998
Non-Small Cell Lung Carcinoma	AHNAK2	1.0499999999999993e-291	1.94917219
Non-Small Cell Lung Carcinoma	CA9	1.5999999999999989e-286	1.976437585
Non-Small Cell Lung Carcinoma	IGFBP3	8.929999999999995e-267	2.037277209
Non-Small Cell Lung Carcinoma	TRIM2	3.0224552994354e-310	1.729363885
Non-Small Cell Lung Carcinoma	KRT14	1.1299999999999995e-214	2.478121573
Non-Small Cell Lung Carcinoma	SGOL1	3.1399999999999984e-247	2.130558639
Non-Small Cell Lung Carcinoma	KRT16	3.489999999999998e-221	2.368017171
Non-Small Cell Lung Carcinoma	ADAMDEC1	1.0899999999999992e-289	1.80306598
Non-Small Cell Lung Carcinoma	GRHL3	2.8699999999999984e-297	1.7530754430000002
Non-Small Cell Lung Carcinoma	COL17A1	3.32264e-319	1.619430614
Non-Small Cell Lung Carcinoma	ZWILCH	1.3799999999999994e-232	2.144407478
Non-Small Cell Lung Carcinoma	EEF1A2	7.239999999999996e-267	1.849489467
Non-Small Cell Lung Carcinoma	C15orf48	1.759999999999999e-256	1.906122459
Non-Small Cell Lung Carcinoma	UGT8	1.0799999999999997e-269	1.801492568
Non-Small Cell Lung Carcinoma	ADAMTS12	2.3599999999999986e-272	1.7830411290000001
Non-Small Cell Lung Carcinoma	PRKDC	2.529999999999999e-270	1.785755455
Non-Small Cell Lung Carcinoma	CA12	5.4199999999999976e-235	2.050776117
Non-Small Cell Lung Carcinoma	MEX3A	3.039999999999998e-274	1.737140907
Non-Small Cell Lung Carcinoma	GALNT14	1.569999999999999e-299	1.587762299
Non-Small Cell Lung Carcinoma	EME1	1.1555526803e-314	1.5087566669999999
Non-Small Cell Lung Carcinoma	RHOV	0.0	1.5355490330000001
Non-Small Cell Lung Carcinoma	NMU	1.0199999999999993e-263	1.794848283
Non-Small Cell Lung Carcinoma	LCAL1	5.099999999999997e-260	1.807891524
Non-Small Cell Lung Carcinoma	FNDC1	1.4199999999999993e-270	1.7211661409999999
Non-Small Cell Lung Carcinoma	KLC3	3.069999999999999e-250	1.828594174
Non-Small Cell Lung Carcinoma	GJB6	5.729999999999998e-203	2.251091963
Non-Small Cell Lung Carcinoma	DUXAP10	5.569999999999998e-183	2.493197727
Non-Small Cell Lung Carcinoma	DSG3	5.969999999999998e-187	2.411872911
Non-Small Cell Lung Carcinoma	DLX6	1.6999999999999993e-241	1.8299113059999998
