drug	gene	zvalue	pvalue
belinostat	N6AMT1	-5.860476257999999	4.62e-09
belinostat	BATF3	-8.398547354	4.52e-17
belinostat	TXNDC15	-6.139043985	8.3e-10
belinostat	FAM35A	-7.952613455	1.83e-15
belinostat	PRPF39	-4.757783882	1.96e-06
belinostat	ARNTL2	-4.792259088	1.65e-06
belinostat	PDSS1	-5.785900832	7.21e-09
belinostat	PSAT1	-5.813019768999999	6.14e-09
belinostat	MANSC1	-5.304298777	1.13e-07
belinostat	C7orf49	-6.098369589	1.07e-09
belinostat	ADPGK	-5.038341311	4.7e-07
belinostat	ZCCHC10	-8.115812021	4.83e-16
belinostat	SCMH1	-4.991407126	5.99e-07
belinostat	TGFBRAP1	-7.016308072999999	2.28e-12
belinostat	WBSCR16	-6.608030436	3.8899999999999996e-11
belinostat	KIF18A	-6.968875693999999	3.19e-12
belinostat	VWA9	-5.3242300160000005	1.0099999999999999e-07
belinostat	HNRNPD	-6.1824960760000005	6.31e-10
belinostat	KPNA3	-7.30928862	2.6899999999999996e-13
belinostat	FBXW4	-5.792398135	6.9400000000000004e-09
belinostat	GINS2	-5.836299334	5.34e-09
belinostat	MIS12	-4.612247295	3.98e-06
belinostat	TRAF3	-7.554180281	4.22e-14
belinostat	C19orf24	-4.761377639	1.92e-06
belinostat	RPH3AL	-5.692045053999999	1.26e-08
belinostat	TMEM126B	-5.286772255	1.24e-07
belinostat	SPDL1	-8.079173989	6.519999999999999e-16
belinostat	IMP3	-6.301216832000001	2.9499999999999996e-10
belinostat	COL5A2	-5.988813102000001	2.1100000000000004e-09
belinostat	SUPT20H	-7.597178222999999	3.03e-14
belinostat	PHF11	-11.55560958	6.92e-31
belinostat	ANGEL2	-10.6842559	1.21e-26
belinostat	SEH1L	-5.29885128	1.1699999999999999e-07
belinostat	C1orf174	-5.888208771	3.9e-09
belinostat	KIF18B	-9.50692617	1.9600000000000003e-21
belinostat	CENPN	-9.236848606	2.54e-20
belinostat	AGK	-5.284889468	1.26e-07
belinostat	RRN3	-4.8571896489999995	1.19e-06
belinostat	RPL26	-4.600955481000001	4.21e-06
belinostat	INTS7	-7.121073099	1.07e-12
belinostat	PPP3CC	-6.145842842	7.95e-10
belinostat	CSTF1	-7.559065479	4.06e-14
belinostat	TEAD4	-6.22604341	4.78e-10
belinostat	SYDE1	-4.829147237	1.37e-06
belinostat	GINS3	-8.67789783	4.03e-18
belinostat	TNIP2	-6.7235847820000005	1.7699999999999998e-11
belinostat	OGFOD3	-6.415326631	1.41e-10
belinostat	LTF	-4.790803578999999	1.66e-06
belinostat	ARL2BP	-6.237802017999999	4.44e-10
belinostat	CTSS	-4.771404727	1.83e-06
belinostat	PTPN9	-4.580889708	4.63e-06
belinostat	GOLGA1	-5.412191344	6.230000000000001e-08
belinostat	CD48	-5.025967367	5.01e-07
belinostat	LIG3	-5.941208546	2.8300000000000004e-09
belinostat	TTF2	-5.332585625	9.679999999999999e-08
belinostat	ARHGAP11A	-6.827820461	8.619999999999998e-12
belinostat	PLK4	-7.087794099	1.36e-12
belinostat	CARD8	-7.865592467999999	3.67e-15
belinostat	ADD2	-4.908824861	9.159999999999999e-07
belinostat	CNTRL	-4.958465535	7.11e-07
belinostat	GAS2	-6.908781583	4.8899999999999996e-12
belinostat	ACYP2	-5.6164316229999995	1.95e-08
belinostat	IL1RL1	-5.110743615	3.2100000000000003e-07
belinostat	GPR171	-4.8781836819999995	1.07e-06
belinostat	BRCA2	-6.235234451	4.51e-10
belinostat	RAD50	-5.145796933	2.66e-07
belinostat	RAD51D	-7.833524099	4.74e-15
belinostat	ATG5	-4.5848827000000005	4.54e-06
belinostat	GYG2	-6.457951671	1.06e-10
belinostat	PDE4B	-6.391981474	1.64e-10
belinostat	ZEB1	-5.716541209	1.09e-08
belinostat	MORC3	-4.7102520210000005	2.47e-06
belinostat	COL4A6	-4.608377422	4.06e-06
belinostat	TUBGCP5	-6.29074575	3.1600000000000005e-10
belinostat	KRIT1	-5.789677758	7.0499999999999994e-09
belinostat	RFX7	-6.180772612	6.38e-10
belinostat	TMA16	-7.436726327000001	1.0300000000000002e-13
belinostat	KCTD15	-6.253095176	4.02e-10
belinostat	MAGOHB	-5.523437400000001	3.32e-08
belinostat	MANEA	-5.213507497	1.85e-07
belinostat	TRMT13	-7.10071494	1.24e-12
belinostat	ZNF236	-4.973939854	6.559999999999999e-07
belinostat	MYO19	-6.307818655	2.83e-10
belinostat	CASD1	-8.404546364	4.3e-17
belinostat	NHEJ1	-4.798366925	1.6e-06
belinostat	SIDT1	-6.014949695	1.8e-09
belinostat	MRM1	-6.279958195	3.39e-10
belinostat	DCAF17	-8.262685202	1.42e-16
belinostat	MTHFD2L	-5.5444225739999995	2.9500000000000003e-08
belinostat	NUP62CL	-6.294936575	3.08e-10
belinostat	ZNF532	-7.25491706	4.02e-13
belinostat	METTL16	-4.788935303	1.68e-06
belinostat	PRDM13	-5.185086309	2.16e-07
belinostat	TRMO	-7.631740364	2.32e-14
