drug	gene	zvalue	pvalue
ponatinib	CR1	4.683009022	2.83e-06
ponatinib	PGM5	4.954781167	7.240000000000001e-07
ponatinib	RARB	5.179437921	2.23e-07
ponatinib	ABCC9	5.85303002	4.83e-09
ponatinib	POU3F3	5.0739768519999995	3.9e-07
ponatinib	C1S	5.077443338999999	3.83e-07
ponatinib	HLA-DRA	5.353248951	8.64e-08
ponatinib	CALCOCO1	5.485210602	4.13e-08
ponatinib	CORO1A	5.108741391000001	3.24e-07
ponatinib	CRYAB	5.462477647999999	4.7000000000000004e-08
ponatinib	ID4	4.719225677	2.37e-06
ponatinib	EPHX2	4.728275065	2.26e-06
ponatinib	ENTPD1	6.886015637000001	5.740000000000001e-12
ponatinib	RBM4B	4.839349063999999	1.3e-06
ponatinib	AMOT	5.804820933999999	6.44e-09
ponatinib	MXRA5	5.50193962	3.76e-08
ponatinib	CTNND2	4.629412632	3.67e-06
ponatinib	CD74	4.910128537	9.1e-07
ponatinib	ITGA7	5.220069832	1.7899999999999997e-07
ponatinib	CA11	4.915036369	8.88e-07
ponatinib	MID2	4.898639857	9.65e-07
ponatinib	MAGI2	7.048159635	1.8100000000000002e-12
ponatinib	COQ7	5.415034562000001	6.13e-08
ponatinib	PADI2	5.062797772	4.1299999999999995e-07
ponatinib	SRGAP3	4.665097838	3.08e-06
ponatinib	NFIX	5.931110134	3.0099999999999997e-09
ponatinib	IL33	4.704505783	2.54e-06
ponatinib	PPT2	5.057759386	4.24e-07
ponatinib	DNM3	5.385555957	7.22e-08
ponatinib	ADGRL3	5.688651642999999	1.28e-08
ponatinib	ADRA2A	4.956363143	7.179999999999999e-07
ponatinib	AIF1	6.158474322999999	7.34e-10
ponatinib	PFKFB2	5.917299513	3.27e-09
ponatinib	SOCS1	4.675347526	2.93e-06
ponatinib	ABHD14A	5.051529803	4.38e-07
ponatinib	SARDH	4.747440629	2.06e-06
ponatinib	CCL19	4.747583475	2.06e-06
ponatinib	ST8SIA1	5.31249098	1.08e-07
ponatinib	KCNAB1	4.639805942	3.49e-06
ponatinib	ARC	5.162706445	2.43e-07
