Ensembl_ID	Preferred_name	Ensembl_HGNC	Ensembl_gene	Ensembl_UniProt_AC
9606.ENSP00000361548	MPL	{'MPL'}	{'ENSG00000117400'}	{'P40238', 'Q5JUZ0'}
9606.ENSP00000361554	TIE1	{'TIE1'}	{'ENSG00000066056'}	{'B5A950', 'B5A949', 'P35590'}
9606.ENSP00000361556	C9orf50	{'C9orf50'}	{'ENSG00000179058'}	{'Q8NA65', 'Q2M1I2', 'Q5SZB4'}
9606.ENSP00000361557	RBM41	{'RBM41'}	{'ENSG00000089682'}	{'Q9NV04', 'Q5JSN8', 'Q96IZ5', 'Q5JSN7', 'Q9H8F7'}
9606.ENSP00000361562	CTSA	{'CTSA'}	{'ENSG00000064601'}	{'Q9BR08', 'P10619', 'Q561W6', 'Q9BW68', 'Q96KJ2', 'Q5JZH1', 'B2R798'}
9606.ENSP00000361569	IER5L	{'IER5L'}	{'ENSG00000188483'}	{'Q5T953', 'Q6P3E2'}
9606.ENSP00000361577	C10orf11	{'C10orf11'}	{'ENSG00000148655'}	{'Q9H2I8', 'B1AVW6'}
9606.ENSP00000361580	ZNF691	{'ZNF691'}	{'ENSG00000164011'}	{'Q5VV52', 'B4DJR7', 'O95878', 'Q9NWE8', 'A8MXP6'}
9606.ENSP00000361595	ERMAP	{'ERMAP'}	{'ENSG00000164010'}	{'Q96PL5', 'Q8NCW3', 'Q6DUE0', 'D3DPW8', 'Q5VV53', 'Q8NCV8', 'Q7Z3X0', 'Q96PL6', 'Q8NCW2'}
9606.ENSP00000361596	NEURL2	{'NEURL2'}	{'ENSG00000124257'}	{'Q3KR34', 'Q9BR09'}
9606.ENSP00000361597	SPATA25	{'SPATA25'}	{'ENSG00000149634'}	{'Q9BR10'}
9606.ENSP00000361599	CCDC23	{'CCDC23'}	{'ENSG00000177868'}	{'D3DPW7', 'Q8N300', 'A8K5P1'}
9606.ENSP00000361601	ZSWIM1	{'ZSWIM1'}	{'ENSG00000168612'}	{'Q5JZH2', 'Q9BR11', 'Q9BR12', 'Q9BV30'}
9606.ENSP00000361602	ZNF503	{'ZNF503'}	{'ENSG00000165655'}	{'Q96E25', 'Q8NAC5', 'Q96F45', 'Q96IJ0'}
9606.ENSP00000361603	C1orf50	{'C1orf50'}	{'ENSG00000164008'}	{'Q9BV19'}
9606.ENSP00000361608	ABCC10	{'ABCC10'}	{'ENSG00000124574'}	{'Q9UF48', 'Q8NHX7', 'Q5T3U5', 'Q9NXY3', 'Q9H7N2'}
9606.ENSP00000361616	COMTD1	{'COMTD1'}	{'ENSG00000165644'}	{'Q8TE79', 'Q86VU5'}
9606.ENSP00000361625	DOLPP1	{'DOLPP1'}	{'ENSG00000167130'}	{'Q96GF8', 'Q86YN1', 'B0QZG4', 'A8K3U8', 'Q9Y3G1'}
9606.ENSP00000361626	YBX1	{'YBX1'}	{'ENSG00000065978'}	{'P16990', 'P16991', 'Q15325', 'P67809', 'Q14972', 'Q5FVF0'}
9606.ENSP00000361628	CXorf57	{'CXorf57'}	{'ENSG00000147231'}	{'Q5JRF9', 'Q6PII9', 'Q9NWA6', 'Q4G0L7', 'Q9H7W5', 'Q6PJU8', 'Q5JQS1', 'Q6PHY5', 'Q6NSI4', 'H7BY89'}
9606.ENSP00000361634	SH3GLB2	{'SH3GLB2'}	{'ENSG00000148341'}	{'Q9NR46', 'Q8WY61', 'A6NC47', 'A8MPS4', 'Q96JH9'}
9606.ENSP00000361635	VDAC2	{'VDAC2'}	{'ENSG00000165637'}	{'Q5VWK3', 'P45880', 'Q6IB40', 'Q7L3J5', 'Q9Y5I6', 'Q5VWK1', 'Q9BWK8'}
9606.ENSP00000361636	TNNC2	{'TNNC2'}	{'ENSG00000101470'}	{'Q6FH92', 'P02585'}
9606.ENSP00000361642	PPCS	{'PPCS'}	{'ENSG00000127125'}	{'Q5VVM0', 'Q3KQT2', 'Q9HAB8'}
9606.ENSP00000361646	ZMYND12	{'ZMYND12'}	{'ENSG00000066185'}	{'Q96M51', 'Q8TC87', 'Q9H0C1', 'Q5VUS6'}
9606.ENSP00000361650	CRIP3	{'CRIP3'}	{'ENSG00000146215'}	{'Q6Q6R6', 'Q6Q6R7', 'A2A436', 'Q5T043', 'Q6Q6R4', 'Q6Q6R5'}
9606.ENSP00000361653	FOXJ3	{'FOXJ3'}	{'ENSG00000198815'}	{'D3DPW2', 'Q9UPW0', 'A7MD18', 'Q9NSS7', 'A7MBL7'}
