"Gene","log2FC","AveExpr","PValue"
"FABP4",-4.6156525,7.99354428571429,1.28316069182928e-25
"SPP1",4.45855416666666,9.77603857142857,1.60811713224714e-24
"SLC6A4",-4.14433583333333,8.24183142857143,1.4926289655149e-22
"WIF1",-4.11068,8.99624,3.15680352539109e-15
"TMEM100",-3.92329333333334,7.11431142857143,2.24970843789509e-25
"AGER",-3.72469333333333,9.88679714285714,1.19653363749533e-21
"GKN2",-3.4201225,7.16505428571429,6.2188916154737e-14
"ANKRD1",-3.37475833333333,7.79177,1.93756513507932e-21
"SFTPC",-3.31929916666667,11.0995542857143,1.34832925073729e-10
"ACADL",-3.29427583333333,7.07157,8.32457895878622e-22
"NCKAP5",-3.24849583333333,7.844,5.63911909684442e-25
"AQP4",-3.22621666666667,9.10912428571429,1.13949321693658e-10
"MMP12",3.13341916666667,6.78220857142857,1.34399516549644e-14
"CYP24A1",3.13013416666666,7.13111142857143,5.45374936451768e-11
"RTKN2",-3.10316416666667,8.48356,8.97810355663176e-17
"CLDN18",-3.09303916666667,9.04180571428572,1.8656840722524e-17
"SOSTDC1",-3.07453916666667,7.16794714285714,1.16121947026614e-21
"ST8SIA6",-3.06376833333333,7.36779857142857,2.56959222433522e-19
"ADH1B",-3.0317525,8.91936,6.82068812507333e-15
"CPB2",-3.01548583333333,7.17966857142857,9.0273758404989e-14
"CYP4B1",-2.98666916666667,9.55703857142857,4.54790572749043e-13
"CXCL13",2.98049333333333,6.92339571428571,1.22756676943495e-18
"FHL1",-2.96363583333333,9.18203714285714,1.05943356054659e-23
"NECAB1",-2.958235,7.59702,5.51578206051409e-21
"GREM1",2.9459925,8.56659428571429,1.7872478413131e-17
"FCN3",-2.9103775,9.24322714285714,2.00382183395377e-16
"IGKC",2.88799583333333,10.18394,5.16811979683038e-16
"EDNRB",-2.82303916666667,8.88659142857143,4.44699477236337e-20
"HHIP",-2.81528416666666,8.18750285714286,2.48614912096393e-17
"EMCN",-2.80375999999999,9.17212142857143,3.49471545205924e-21
"SCGB1A1",-2.79164416666667,10.7265714285714,7.83299144314351e-08
"CLIC5",-2.76860583333333,8.20317285714286,9.71716790371884e-22
"PEBP4",-2.76798583333333,9.47127714285714,3.38842599728546e-13
"TEK",-2.72233833333333,8.52375142857143,2.65680401460165e-24
