"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"askpass","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","1.1",NA,NA,NA,NA
"assertthat","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","0.2.1",NA,NA,NA,NA
"base64enc","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","0.1-3",NA,NA,NA,NA
"Biobase","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","2.54.0",NA,NA,NA,NA
"BiocGenerics","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","0.40.0",NA,NA,NA,NA
"BiocManager","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","1.30.16",NA,NA,NA,NA
"BiocVersion","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","3.14.0",NA,NA,NA,NA
"bit","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","4.0.4",NA,NA,NA,NA
"bit64","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","4.0.5",NA,NA,NA,NA
"cli","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","3.2.0",NA,NA,NA,NA
"clipr","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","0.8.0",NA,NA,NA,NA
"colorspace","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","2.0-3",NA,NA,NA,NA
"config","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","0.3.1",NA,NA,NA,NA
"cowplot","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","1.1.1",NA,NA,NA,NA
"cpp11","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","0.4.2",NA,NA,NA,NA
"crayon","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","1.5.0",NA,NA,NA,NA
"crosstalk","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","1.2.0",NA,NA,NA,NA
"curl","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","4.3.2",NA,NA,NA,NA
"data.table","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","1.14.2",NA,NA,NA,NA
"DEoptimR","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","1.0-10",NA,NA,NA,NA
"digest","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","0.6.29",NA,NA,NA,NA
"distr","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","2.8.0",NA,NA,NA,NA
"dplyr","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","1.0.8",NA,NA,NA,NA
"ellipsis","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","0.3.2",NA,NA,NA,NA
"emmeans","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","1.7.2",NA,NA,NA,NA
"estimability","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","1.3",NA,NA,NA,NA
"fansi","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","1.0.2",NA,NA,NA,NA
"farver","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","2.1.0",NA,NA,NA,NA
"fastmap","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","1.1.0",NA,NA,NA,NA
"fftw","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","1.0-6.1",NA,NA,NA,NA
"generics","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","0.1.2",NA,NA,NA,NA
"ggplot2","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","3.3.5",NA,NA,NA,NA
"glue","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","1.6.2",NA,NA,NA,NA
"gtable","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","0.3.0",NA,NA,NA,NA
"hms","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","1.1.1",NA,NA,NA,NA
"htmltools","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","0.5.2",NA,NA,NA,NA
"htmlwidgets","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","1.5.4",NA,NA,NA,NA
"httr","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","1.4.2",NA,NA,NA,NA
"isoband","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","0.2.5",NA,NA,NA,NA
"jsonlite","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","1.8.0",NA,NA,NA,NA
"labeling","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","0.4.2",NA,NA,NA,NA
"later","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","1.3.0",NA,NA,NA,NA
"lazyeval","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","0.2.2",NA,NA,NA,NA
"lifecycle","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","1.0.1",NA,NA,NA,NA
"magrittr","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","2.0.2",NA,NA,NA,NA
"mathjaxr","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","1.4-0",NA,NA,NA,NA
"MatrixModels","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","0.5-0",NA,NA,NA,NA
"metafor","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","3.0-2",NA,NA,NA,NA
"metap","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","1.8",NA,NA,NA,NA
"MetaVolcanoR","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","1.8.0",NA,NA,NA,NA
"mime","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","0.12",NA,NA,NA,NA
"mnormt","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","2.0.2",NA,NA,NA,NA
"multcomp","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","1.4-18",NA,NA,NA,NA
"multtest","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","2.50.0",NA,NA,NA,NA
"munsell","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","0.5.0",NA,NA,NA,NA
"mutoss","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","0.1-12",NA,NA,NA,NA
"mvtnorm","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","1.1-3",NA,NA,NA,NA
"numDeriv","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","2016.8-1.1",NA,NA,NA,NA
"openssl","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","1.4.6",NA,NA,NA,NA
"pander","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","0.6.4",NA,NA,NA,NA
"pbapply","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","1.5-0",NA,NA,NA,NA
"pillar","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","1.7.0",NA,NA,NA,NA
"pkgconfig","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","2.0.3",NA,NA,NA,NA
"plotly","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","4.10.0",NA,NA,NA,NA
"plotrix","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","3.8-2",NA,NA,NA,NA
"prettyunits","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","1.1.1",NA,NA,NA,NA
"progress","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","1.2.2",NA,NA,NA,NA
"promises","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","1.2.0.1",NA,NA,NA,NA
"purrr","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","0.3.4",NA,NA,NA,NA
"qqconf","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","1.2.0",NA,NA,NA,NA
"quantreg","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","5.88",NA,NA,NA,NA
"R6","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","2.5.1",NA,NA,NA,NA
"rbibutils","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","2.2.7",NA,NA,NA,NA
"RColorBrewer","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","1.1-2",NA,NA,NA,NA
"Rcpp","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","1.0.8",NA,NA,NA,NA
"Rdpack","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","2.1.4",NA,NA,NA,NA
"readr","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","2.1.2",NA,NA,NA,NA
"remotes","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","2.4.2",NA,NA,NA,NA
"Require","/cloud/lib/x86_64-pc-linux-gnu-library/4.1","0.0.13",NA,NA,NA,NA
